Designator,Mid X,Mid Y,Rotation,Layer
C10,115.49,-96.04,0.0,top
C11,115.49,-98.55,0.0,top
C200,120.51,-92.05,0.0,top
C201,120.49,-95.17,0.0,top
C202,120.49,-97.14,0.0,top
C203,120.49,-99.11,0.0,top
C204,120.49,-101.08,0.0,top
C205,120.49,-103.05,0.0,top
C206,120.49,-105.02,0.0,top
C207,120.49,-84.14,0.0,top
C208,120.49,-86.11,0.0,top
C209,120.49,-88.08,0.0,top
C210,120.49,-90.05,0.0,top
C30,125.5,-87.5,0.0,top
C35,125.5,-108.5,0.0,top
C40,129.01,-99.55,0.0,top
C50,133.99,-98.52,0.0,top
C51,133.99,-101.05,0.0,top
C60,138.47,-94.0,0.0,top
C63,138.47,-96.55,0.0,top
C64,138.5,-105.0,0.0,top
C65,138.725,-108.0,0.0,top
C81,144.52,-99.53,0.0,top
C82,144.52,-101.5,0.0,top
C84,144.52,-104.0,0.0,top
J2,148.495,-117.4025,0.0,top
J3,170.5,-113.73,0.0,top
R12,115.52,-101.54,0.0,top
R211,120.49,-107.55,0.0,top
R212,120.5,-110.0,0.0,top
R213,120.5,-112.5,0.0,top
R214,120.5,-115.5,0.0,top
R30,125.52,-96.58,0.0,top
R61,138.5,-99.06,0.0,top
R83,144.54,-97.55,0.0,top
U2,170.9375,-87.4,90.0,top
U3,170.76,-106.75,0.0,top
U4,166.6275,-78.4875,0.0,top
U5,154.1125,-101.85,0.0,top
U6,167.9,-95.8,180.0,top
U7,148.5,-77.5,270.0,top
U8,153.5,-90.0,0.0,top
X1,176.199999,-98.9,0.0,top
Y1,134.0,-78.25,90.0,top
