Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C206, C207, C209, C211, C212, C213, C214, C215, C216, C40, C81, C82, C83, C90",0402,15,100n,C307331
"C10, C11",0402,2,15p,C1548
"C208, C210",0402,2,1u,C52923
J2,HRO_TYPE-C-31-M-04,1,TYPE-C-31-M-04,C129018
"R12, R30",0402,2,1k,C11702
"R203, R204",0603,2,27,C25190
"R220, R221, R222, R223",0402,4,4.7k,C25900
R91,0402,1,10k,C25744
"S1, S2",SW_TS-1187A-B-A-B,2,TS-1187A-B-A-B,C318884
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,VSSOP-8_3x3mm_P0.65mm,1,TCA9803,C2687966
U4,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U5,LGA-8_3x5mm_P1.25mm,1,MS5607-02BA,C97627
U6,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75718PDRV,C2861386
U8,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,C726001
U9,QFN28_6X6MC_MCH,1,MCP25625T-E/ML,C191253
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,C20625731
Y2,OSC_X322516MLB4SI,1,X322516MLB4SI,C12668
