Designator,Mid X,Mid Y,Rotation,Layer
C10,55.295,-90.54,0.0,top
C11,55.295,-93.05,0.0,top
C200,60.315,-87.0,0.0,top
C201,60.295,-89.67,0.0,top
C202,60.295,-91.64,0.0,top
C203,60.295,-93.61,0.0,top
C204,60.295,-95.58,0.0,top
C205,60.295,-97.55,0.0,top
C206,60.295,-99.52,0.0,top
C207,60.295,-77.5,0.0,top
C208,60.295,-79.97,0.0,top
C209,60.295,-82.0,0.0,top
C210,60.295,-84.55,0.0,top
C30,65.305,-82.0,0.0,top
C35,65.305,-103.0,0.0,top
C40,68.815,-94.05,0.0,top
C50,73.795,-93.02,0.0,top
C51,73.795,-95.55,0.0,top
C60,78.275,-88.5,0.0,top
C63,78.275,-91.05,0.0,top
C64,78.305,-99.5,0.0,top
C65,78.0,-102.5,0.0,top
C700,89.48,-106.5,0.0,top
C74,89.53,-90.95,0.0,top
C75,89.53,-93.46,0.0,top
C76,89.53,-95.97,0.0,top
C77,89.53,-98.48,0.0,top
C78,89.53,-100.99,0.0,top
C79,89.53,-103.5,0.0,top
C81,84.325,-94.03,0.0,top
C82,84.325,-96.0,0.0,top
C84,84.325,-98.5,0.0,top
C85,84.325,-87.03,0.0,top
C86,84.325,-89.5,0.0,top
D88,84.0175,-101.21,0.0,top
J2,148.495,-117.4025,0.0,top
L70,78.2125,-108.01,0.0,top
R12,55.325,-96.04,0.0,top
R211,60.295,-102.05,0.0,top
R212,60.305,-104.5,0.0,top
R213,60.305,-107.0,0.0,top
R214,60.305,-110.0,0.0,top
R30,65.325,-91.08,0.0,top
R61,78.305,-93.56,0.0,top
R71,89.49,-109.5,0.0,top
R72,89.49,-111.49,0.0,top
R83,84.345,-92.05,0.0,top
R87,84.295,-104.0,0.0,top
R89,84.305,-84.5,0.0,top
U1,154.5,-80.5,0.0,top
U2,150.2,-100.2,90.0,top
U3,144.4,-73.85,0.0,top
U4,166.5,-100.5,0.0,top
U5,127.5,-100.235,0.0,top
U6,135.6375,-81.95,180.0,top
U7,146.225,-81.4,0.0,top
U8,125.5,-90.5,0.0,top
X1,138.8123,-101.127,0.0,top
Y1,119.75,-91.4125,90.0,top
